user_id,workspace_id,name,email,signup_date,last_login_date
usr_ynwtwerdq,ws_uinfxnncf,"John Shah",john.shah@pulse.com,2025-01-28,2025-02-01
usr_4nolh1haq,ws_uinfxnncf,"Michael Smith",michael.smith@pulse.com,2025-02-11,2025-02-11
usr_pufadzya5,ws_3rhpxme04,"Anna Williams",anna.williams@keen.com,2025-01-06,2025-01-21
usr_n0k6v3ky4,ws_3rhpxme04,"Dan Johnson",dan.johnson@keen.com,2025-01-16,2025-01-25
usr_ld9vdkv00,ws_3rhpxme04,"Alex Li",alex.li@keen.com,2025-01-19,2025-01-30
usr_o61zrem9g,ws_3rhpxme04,"David Wang",david.wang@keen.com,2025-01-17,2025-01-18
usr_bgfwkfokx,ws_3rhpxme04,"Emma Zhang",emma.zhang@keen.com,2025-02-06,2025-02-11
usr_stbxkzh5t,ws_agbr91ogh,"Maria Kim",maria.kim@flux.com,2025-02-01,2025-02-02
usr_qiu56k5ri,ws_agbr91ogh,"Alex Chen",alex.chen@flux.com,2025-01-21,2025-02-03
usr_1jpbhyj5j,ws_kyq5cfiov,"Sam Singh",sam.singh@cosmic.com,2025-01-25,2025-02-05
usr_gkcnvkbvi,ws_kyq5cfiov,"Sarah Wang",sarah.wang@cosmic.com,2024-12-03,2025-01-21
usr_4zwwfghrp,ws_kyq5cfiov,"Sam Li",sam.li@cosmic.com,2024-11-26,2024-12-01
usr_fu2621ifj,ws_kyq5cfiov,"Michael Brown",michael.brown@cosmic.com,2025-01-20,2025-01-24
usr_m6f46c5r6,ws_kyq5cfiov,"Lisa Singh",lisa.singh@cosmic.com,2025-01-08,2025-01-27
usr_ghzhso37w,ws_kyq5cfiov,"Zoe Singh",zoe.singh@cosmic.com,2024-11-26,2025-01-22
usr_tfdlnlznu,ws_kyq5cfiov,"James Wang",james.wang@cosmic.com,2025-01-25,2025-02-07
usr_i7j2scoek,ws_bjr321rz6,"Raj Shah",raj.shah@unity.com,2024-12-03,2024-12-21
usr_nb6p2w9vu,ws_2y37gs11s,"James Li",james.li@wave.com,2024-12-21,2024-12-31
usr_xueeilnkq,ws_2y37gs11s,"Nina Martinez",nina.martinez@wave.com,2024-12-23,2025-02-01
usr_u59q7qtto,ws_2y37gs11s,"Alex Singh",alex.singh@wave.com,2024-11-02,2025-01-31
