"Record ID","Record","Users","Deals","Company","Plan","Seats"
"001f4b6a-8abe-5622-95d3-69ccab64d0b4","Glow AI","nina.chen@glow.com,ava.kumar@glow.com,anna.kumar@glow.com","Attio – inbound","Glow Communications","Free",
"0020fb39-fdf6-57f4-bcb0-1a6101f0f561","Volt Solutions","chris.davis@volt.com,maria.garcia@volt.com",,"Volt","Free",
"005cedbb-4852-54b6-8078-dfe150b55962","Nova Solutions","lisa.wang@nova.com","Nova Solutions – PQL","Nova - Community Association Management","Pro","2"
"027c7649-5a6a-5b9e-94b0-52c06b8099c9","Keen","alex.wang@keen.com",,"Keen.com","Free",
"0d31a5a2-55a4-5f93-8c93-888f986be7d2","Iris Studio","maya.singh@iris.com",,"IRIS Centre","Free",
"0f2d892a-11e4-524d-874c-d23a612d348f","Quest","david.li@quest.com",,"Quest Software","Free",
"10ddd3ed-be7c-5961-9df7-8b7e4e65b4d2","Iris",,,"IRIS Centre","Free",
"1f1e4291-e72c-5556-b221-2daa88434e5d","Bolt","sarah.davis@bolt.com",,"Bolt","Free",
"2193e0a7-b1c6-506c-8651-f801ad0207a1","Wave Labs",,,"WAVE","Free",
"21cef248-c797-5633-996d-159f75f3d2e0","Pulse Data",,,"Pulse 2.0","Free",
"2478f744-2592-5da8-a233-ce92c802c60b","Accel","maya.kumar@accel.com,maya.kim@accel.com",,"Accel","Pro",
"2654ab12-3644-5c69-8ca6-55c3353e63e3","Riot Systems","anna.johnson@riot.com,zoe.johnson@riot.com",,"Riot Comedy Club","Free",
"31706b93-8d9d-5846-999d-32d6eb560b05","Keen Data",,,"Keen.com","Enterprise",
"3475a4c8-672c-5dc4-b3b0-9b93e161ac3c","Wave Data","maya.zhang@wave.com,michael.wang@wave.com",,"WAVE","Pro",
"361da0a3-8493-51b6-b3fb-3f7d86a10431","Helix Software",,,"Helix","Pro",
"38a7ac50-5560-5c8b-81b8-2306ae3323f7","Bolt Solutions",,,"Bolt","Free",
"3966e6af-c403-5d5a-90de-63b227d94009","Jolt Data","tom.davis@jolt.com",,"Journey","Free",
"3ad8b574-1bee-5c33-b151-2d6928c5a76e","Sage","john.wang@sage.com,raj.smith@sage.com",,"7Sage","Free",
"40552c99-5dcb-5e9a-843c-74738b024049","Volt","michael.zhang@volt.com",,"Volt","Free",
