Record ID,Record,Associated company > Associated workspaces,Associated people,Deal stage,Deal stage Changed At,Deal stage Previous Values,Deal value,Workspace,Deal owner,Deal owner email,Seats
faf3bde5-c0bf-433c-bf94-88ae8660e857,Helix – inbound,ws_tz55k5h8d,Dominic Eccleston,Qualified,2025-01-21T12:59:41Z,Lead,38478.01,Helix,Dom Eccleston,dom@attio.com,177
58fa5b8d-f246-4a14-9672-0c53525d3f75,Lullwater & Co – inbound,ws_1iwhdtp54,Dominic Eccleston,Lead,2024-12-11T12:59:41Z,,60128.81,Lunar Tech,Dom Eccleston,dom@attio.com,183
7a17f9c7-20ba-4af4-a177-58df4f7a9b59,9flux – inbound,ws_zi3m6fa2k,Dominic Eccleston,Proposal,2024-12-04T12:59:41Z,"Lead, Qualified, Meeting Scheduled",42632.28,Flux,Dom Eccleston,dom@attio.com,85
bb58717e-1e61-4ce1-927c-b846168ed45d,Wave Mobile Money – inbound,ws_knc6fs6pn,Dominic Eccleston,Closed Lost,2024-11-30T12:59:41Z,"Lead, Qualified, Meeting Scheduled, Proposal, Negotiation, Closed Won",8174.32,Wave AI,Dom Eccleston,dom@attio.com,196
12e0b31c-90cc-4a0f-aa0e-e6bac11a2b4f,Journey – inbound,ws_e3fsepruk,Dominic Eccleston,Qualified,2025-01-16T12:59:41Z,Lead,94959.88,Jolt Data,Dom Eccleston,dom@attio.com,
ef300df8-5575-45a1-ba0b-43617ff35933,Helix – inbound,ws_tz55k5h8d,Dominic Eccleston,Closed Won,2025-01-13T12:59:41Z,"Lead, Qualified, Meeting Scheduled, Proposal, Negotiation",45489.04,Helix,Dom Eccleston,dom@attio.com,43
445f8dc7-2810-4570-bd60-64ec57e30bcb,Orbit – inbound,ws_4a94b9cf9,Dominic Eccleston,Proposal,2025-01-27T12:59:41Z,"Lead, Qualified, Meeting Scheduled",12840.5,Orbit Software,Dom Eccleston,dom@attio.com,8
4c93e157-18b7-4bb6-9125-870a544ab2e8,Quest Software – inbound,ws_os4bq8tjl,Dominic Eccleston,Meeting Scheduled,2025-02-06T12:59:41Z,"Lead, Qualified",12362.85,Quest,Dom Eccleston,dom@attio.com,127
514892be-37c9-4677-bced-92d7ffd0f699,Nova - Community Association Management – inbound,ws_1lolor8to,Dominic Eccleston,Closed Lost,2024-12-28T12:59:41Z,"Lead, Qualified, Meeting Scheduled, Proposal, Negotiation, Closed Won",47269.83,Nova AI,Dom Eccleston,dom@attio.com,
f9231db8-4e44-4854-bf0e-8fe77773cbe1,Nova - Community Association Management – inbound,ws_hfsgpoeey,Dominic Eccleston,Closed Lost,2024-11-27T12:59:41Z,"Lead, Qualified, Meeting Scheduled, Proposal, Negotiation, Closed Won",37277.33,Nova Solutions,Dom Eccleston,dom@attio.com,7
